users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
50,2,25,l2,perf,1625,0,27.10,1200,6200,7800,8938,1653,1243,0,1653,1243,0,0,1230,931,0,0,0,620763,0.752,0.752,1.0,,51.5,66.0,0.0,81.5,,0.0,chat-only,3300,246,0,4.10,32,6800,7900,921,0,15.36,2100,6000,7600,249,0,4.15,1200,1200,1200,209,0,3.49,2000,7800,8900,1234,0,20.59,400,3700,4600,391,0,6.52,1200,7600,8500
100,2,50,l2,perf,1410,0,22.76,1200,11000,14000,14176,1462,760,0,1462,760,0,0,2106,1118,0,0,0,1375282,0.5198,0.5198,1.0,,52.1,72.0,0.0,79.4,,0.0,chat-only,2920,206,0,3.32,30,11000,13000,778,0,12.56,4700,11000,14000,241,0,3.89,1200,1200,3800,185,0,2.99,4900,11000,14000,759,0,12.25,30,4900,6200,651,0,10.51,11000,12000,14000
