users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
100,4,25,mix80,perf,21228,0,358.79,9,1200,1200,2258,21345,16682,0,21345,16682,0,0,13989,8,8069,21,0,8234656,0.7815,0.7815,1.0,,41.5,76.0,0.0,77.7,,0.0,chat-only,42556,16982,0,287.03,9,1200,1200,,,,,,,2098,0,35.46,1200,1200,1400,2148,0,36.30,9,1200,1200,16631,0,281.09,8,17,33,4597,0,77.70,1200,1200,1400
200,4,50,mix80,perf,40452,0,680.02,11,1200,1200,1770,40566,31658,0,40566,31658,0,0,26724,0,15450,0,0,15941728,0.7804,0.7804,1.0,,51.9,80.0,0.0,79.3,,0.0,chat-only,81104,32498,0,546.31,11,1200,1200,,,,,,,3945,0,66.32,1200,1200,1200,4009,0,67.39,11,1200,1200,31656,0,532.15,10,16,22,8796,0,147.86,1200,1200,1300
400,4,100,mix80,perf,59936,0,1013.52,73,1300,1600,2212,60435,47190,0,60435,47190,0,0,37321,0,23044,0,0,21339946,0.7808,0.7808,1.0,,67.8,95.0,0.0,79.7,,0.0,chat-only,121775,48144,0,814.14,64,1400,1600,,,,,,,5806,0,98.17,1200,1300,1400,5986,0,101.21,72,1300,1400,46943,0,793.82,58,120,180,12993,0,219.70,1200,1600,1700
800,4,200,mix80,perf,58648,0,980.42,350,1600,1900,2783,59311,46306,0,59311,46306,0,0,33118,0,22738,0,0,17873817,0.7807,0.7807,1.0,,69.7,96.0,0.0,79.9,,0.0,chat-only,121623,47239,0,789.71,300,1300,1800,,,,,,,5621,0,93.97,1500,1700,2200,5788,0,96.74,330,1800,2100,46020,0,769.31,220,470,650,12628,0,211.12,1400,1900,2100
1200,4,300,mix80,perf,56675,0,947.43,280,1900,2200,3768,57568,44760,0,57568,44760,0,0,34907,0,21956,0,0,19302253,0.7775,0.7775,1.0,,68.2,94.0,0.0,80.0,,0.0,chat-only,116558,45323,0,757.66,240,1600,2300,,,,,,,5666,0,94.72,1400,2100,2200,5686,0,95.05,270,2000,2200,44348,0,741.36,180,590,950,12327,0,206.07,1400,2200,2600
1600,4,400,mix80,perf,55295,0,919.86,310,1900,2200,3666,56083,43719,0,56083,43719,0,0,33167,0,21536,0,0,18388051,0.7795,0.7795,1.0,,66.6,96.0,0.0,79.9,,0.0,chat-only,114044,44400,0,738.62,270,1600,2200,,,,,,,5377,0,89.45,1500,2200,2700,5518,0,91.79,290,2000,2300,43345,0,721.07,220,600,1000,11950,0,198.80,1500,2200,2700
