users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,pool_max,pool_active_max,pool_pending_max,pool_samples,pool_usage_count,pool_usage_mean_ms,pool_usage_max_ms,pool_acquire_count,pool_acquire_mean_ms,pool_acquire_max_ms,pool_timeout,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
50,4,12,biz,perf,1632,0,38.12,1200,1400,2500,2527,1632,0,0,1632,0,0,0,4896,0,0,0,0,1311416,0.0,0.0,,,36.2,94.0,0.0,2.0,2.0,39.0,63,3272.0,3.86,6774.0,3272.0,6.52,673.67,0.0,64.0,,0.0,chat-only,3312,,,,,,,,,,,,,1632,0,38.12,1200,1400,2500,,,,,,,,,,,,,1632,0,38.12,1200,1400,2500
100,4,25,biz,perf,3507,0,78.73,1200,1200,1600,1932,3557,0,0,3557,0,0,0,10671,0,0,0,0,2819971,0.0,0.0,,,27.5,63.0,0.0,2.0,2.0,7.0,62,10386.0,1.23,6774.0,10386.0,2.36,673.67,0.0,62.7,,0.0,chat-only,7114,,,,,,,,,,,,,3507,0,78.73,1200,1200,1600,,,,,,,,,,,,,3507,0,78.73,1200,1200,1600
200,4,50,biz,perf,6404,0,147.91,1200,1200,1300,1335,6675,0,0,6675,0,0,0,20025,0,0,0,0,5531005,0.0,0.0,,,35.5,66.0,0.0,2.0,2.0,7.0,62,23736.0,0.55,16.0,23736.0,1.34,16.6,0.0,62.7,,0.0,chat-only,13008,,,,,,,,,,,,,6404,0,147.91,1200,1200,1300,,,,,,,,,,,,,6404,0,147.91,1200,1200,1300
