users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,embed_unavailable_delta,writeback_l1_only_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,pool_max,pool_active_max,pool_pending_max,pool_samples,pool_usage_count,pool_usage_mean_ms,pool_usage_max_ms,pool_acquire_count,pool_acquire_mean_ms,pool_acquire_max_ms,pool_timeout,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
100,4,25,l1,"perf,no-ollama",7902,0,135.04,340,1200,1200,1585,8032,4205,0,8032,0,0,1684,14002,11326,0,568,0,4205,0,10357965,0.2097,0.0,0.4005,,24.9,38.0,0.0,30.0,2.0,0.0,79,140830.0,0.08,6.0,140830.0,0.0,0.1,0.0,80.5,,0.0,chat-only,17576,4298,0,73.45,330,1200,1200,1204,0,20.58,1200,1200,1200,1202,0,20.54,1200,1200,1200,1198,0,20.47,1200,1200,1300,,,,,,,7902,0,135.04,350,1200,1200
200,4,50,l1,"perf,no-ollama",15819,0,265.58,340,1200,1200,2344,15919,8535,0,15919,0,0,4833,25854,20482,0,1823,0,8535,0,19221624,0.3036,0.0,0.5663,,26.2,49.0,0.0,30.0,2.0,0.0,78,160431.0,0.07,5.0,160431.0,0.0,0.5,0.0,78.9,,0.0,chat-only,36671,8662,0,145.42,320,1200,1200,2401,0,40.31,1200,1200,1300,2323,0,39.00,1200,1200,1500,2433,0,40.85,1200,1200,1200,,,,,,,15819,0,265.58,350,1200,1200
400,4,100,l1,"perf,no-ollama",28293,0,475.13,340,1200,1300,1918,28475,15126,0,28475,0,0,10460,44713,33052,0,4658,0,15126,0,32689338,0.3673,0.0,0.6915,,48.9,91.0,0.0,30.0,7.0,0.0,78,197589.0,0.06,14.0,197589.0,0.0,0.5,0.0,79.2,,0.0,chat-only,67446,15515,0,260.55,320,1300,1300,4165,0,69.94,1200,1300,1300,4336,0,72.82,1200,1200,1400,4277,0,71.82,1200,1300,1300,,,,,,,28293,0,475.13,370,1200,1300
