users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,embed_unavailable_delta,writeback_l1_only_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,pool_max,pool_active_max,pool_pending_max,pool_samples,pool_usage_count,pool_usage_mean_ms,pool_usage_max_ms,pool_acquire_count,pool_acquire_mean_ms,pool_acquire_max_ms,pool_timeout,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
100,4,25,l1,perf,17410,0,301.77,12,1200,1300,1813,17599,13051,0,17599,10546,2505,0,13630,0,8692,0,0,0,0,11736326,0.7416,0.7416,1.0,,43.1,92.0,0.0,30.0,2.0,0.0,81,24222.0,0.76,61.0,24222.0,0.0,0.36,0.0,82.7,,0.0,chat-only,34929,9712,0,168.34,11,1200,1300,2641,0,45.78,9,1200,1300,2557,0,44.32,1200,1200,1500,2500,0,43.33,10,1200,1300,12970,0,224.82,9,33,110,4440,0,76.95,1200,1300,1500
200,4,50,l1,perf,30829,0,547.18,20,1200,1300,2271,30851,22694,0,30851,18372,4322,0,24471,0,15368,0,0,0,0,20912636,0.7356,0.7356,1.0,,48.6,67.0,0.0,30.0,3.0,0.0,80,40536.0,0.46,13.0,40536.0,0.0,0.48,0.0,81.7,,0.0,chat-only,61858,17013,0,301.96,17,1200,1300,4516,0,80.15,15,1200,1300,4684,0,83.14,1200,1200,1800,4616,0,81.93,16,1200,1300,22692,0,402.76,15,45,69,8137,0,144.42,1200,1300,1800
