users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,pool_max,pool_active_max,pool_pending_max,pool_samples,pool_usage_count,pool_usage_mean_ms,pool_usage_max_ms,pool_acquire_count,pool_acquire_mean_ms,pool_acquire_max_ms,pool_timeout,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
100,4,25,l1,"perf,no-ollama",8240,0,140.07,340,1200,1200,1833,8281,4433,0,8281,608,0,1504,13865,10830,0,462,0,10225350,0.255,0.0734,0.4764,,31.0,52.0,0.0,30.0,2.0,0.0,77,9319.0,0.92,13.0,9319.0,0.0,0.97,0.0,77.5,,0.0,chat-only,18084,4492,0,76.36,320,1200,1200,1213,0,20.62,1200,1200,1600,1262,0,21.45,1200,1200,1200,1273,0,21.64,1200,1200,1600,608,0,10.34,8,20,320,7632,0,129.74,1200,1200,1300
200,4,50,l1,"perf,no-ollama",16344,0,274.66,340,1200,1200,1739,16419,8910,0,16419,1123,0,4343,25971,19874,0,1515,0,19210046,0.3329,0.0684,0.6135,,32.6,67.0,0.0,30.0,4.0,0.0,78,28680.0,0.31,13.0,28680.0,0.0,0.6,0.0,78.9,,0.0,chat-only,37231,9086,0,152.69,320,1200,1200,2445,0,41.09,1200,1200,1300,2403,0,40.38,1200,1200,1500,2410,0,40.50,1200,1200,1200,1123,0,18.87,8,16,25,15221,0,255.79,1200,1200,1200
400,4,100,l1,"perf,no-ollama",29275,0,491.48,340,1200,1300,1853,29430,15780,0,29430,2035,0,9448,45247,33079,0,3665,0,33275852,0.3902,0.0691,0.7277,,45.5,72.0,0.0,30.0,7.0,0.0,78,65428.0,0.15,7.0,65428.0,0.0,0.6,0.0,79.1,,0.0,chat-only,68398,16166,0,271.40,300,1200,1300,4418,0,74.17,1200,1300,1300,4245,0,71.27,1200,1200,1300,4446,0,74.64,1200,1200,1500,2035,0,34.16,13,35,49,27240,0,457.31,1200,1200,1300
