users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,embed_unavailable_delta,writeback_l1_only_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,pool_max,pool_active_max,pool_pending_max,pool_samples,pool_usage_count,pool_usage_mean_ms,pool_usage_max_ms,pool_acquire_count,pool_acquire_mean_ms,pool_acquire_max_ms,pool_timeout,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
100,4,25,l1,"perf,no-ollama",7956,0,136.20,340,1200,1200,1635,8103,4276,0,8103,0,0,1769,13988,11443,0,620,0,4276,0,10500827,0.2183,0.0,0.4137,,24.3,55.0,0.0,30.0,1.0,0.0,76,207012.0,0.06,4.0,207012.0,0.0,0.25,0.0,77.3,,0.0,chat-only,17763,4377,0,74.93,330,1200,1200,1213,0,20.77,1200,1200,1200,1153,0,19.74,1200,1200,1200,1213,0,20.76,1200,1200,1200,,,,,,,7956,0,136.20,340,1200,1200
200,4,50,l1,"perf,no-ollama",15766,0,265.05,340,1200,1200,1719,15850,8477,0,15850,0,0,4694,25902,20571,0,1523,0,8477,0,19031206,0.2962,0.0,0.5537,,35.5,64.0,0.0,30.0,4.0,0.0,78,226452.0,0.05,5.0,226452.0,0.0,0.25,0.0,79.0,,0.0,chat-only,36426,8543,0,143.62,320,1200,1200,2410,0,40.52,1200,1200,1200,2433,0,40.90,1200,1200,1500,2380,0,40.01,1200,1200,1200,,,,,,,15766,0,265.05,350,1200,1200
400,4,100,l1,"perf,no-ollama",28670,0,481.73,340,1200,1300,1957,28842,15564,0,28842,0,0,10787,44611,34279,0,3958,0,15564,0,32622804,0.374,0.0,0.6931,,55.3,93.0,0.0,30.0,4.0,0.0,78,263795.0,0.05,5.0,263795.0,0.0,0.34,0.0,79.3,,0.0,chat-only,68527,15742,0,264.51,320,1300,1300,4316,0,72.52,1200,1300,1300,4269,0,71.73,1200,1200,1300,4343,0,72.97,1200,1300,1300,,,,,,,28670,0,481.74,360,1300,1300
