users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
100,4,25,l1,"perf,no-virtual",18592,0,312.14,10,1100,1200,2574,18628,13672,0,18628,13672,0,0,14868,15,8179,18,0,7863514,0.7339,0.7339,1.0,,39.8,85.0,0.0,79.6,,0.0,chat-only,37284,10286,0,172.69,9,1100,1200,2795,0,46.92,9,1100,1200,2754,0,46.24,1100,1100,1600,2757,0,46.29,10,1100,1200,13671,0,229.52,8,17,31,4921,0,82.62,1100,1200,1600
200,4,50,l1,"perf,no-virtual",35709,0,599.67,14,1100,1200,1795,35783,26413,0,35783,26413,0,0,28110,0,15280,0,0,14654931,0.7381,0.7381,1.0,,55.6,84.0,0.0,80.0,,0.0,chat-only,71618,19776,0,332.10,13,1100,1200,5307,0,89.12,13,1100,1200,5299,0,88.99,1100,1100,1300,5327,0,89.46,14,1200,1200,26411,0,443.53,12,23,34,9298,0,156.14,1100,1200,1400
400,4,100,l1,"perf,no-virtual",36116,0,605.19,320,1500,1600,2233,36233,26735,0,36233,26735,0,0,28494,0,15497,0,0,14935656,0.7379,0.7379,1.0,,52.7,84.0,0.0,80.0,,0.0,chat-only,72632,19857,0,332.74,300,1400,1500,5401,0,90.50,300,1400,1500,5375,0,90.07,1400,1500,1900,5483,0,91.88,310,1500,1600,26735,0,447.99,290,420,470,9381,0,157.19,1400,1500,2000
800,4,200,l1,"perf,no-virtual",36811,0,614.84,840,2000,2100,2948,37102,27534,0,37102,27534,0,0,28704,0,15739,0,0,15025375,0.7421,0.7421,1.0,,55.7,91.0,0.0,80.0,,0.0,chat-only,74422,20340,0,339.73,770,1900,2100,5630,0,94.04,700,1700,2100,5343,0,89.24,1800,2100,2700,5498,0,91.83,820,2000,2100,27454,0,458.55,650,1000,1500,9357,0,156.29,1800,2100,2600
