users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,gateway_down_after_step,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
200,4,50,l1,perf,33165,0,565.07,13,1200,1300,3271,33252,24724,0,33252,24598,2,62,25630,29,14218,73,0,13227742,0.7417,0.7398,0.9975,,62.9,99.0,0.0,80.3,,0.0,chat-only,66539,,18350,0,312.65,12,1200,1300,4890,0,83.32,11,1200,1300,4820,0,82.12,1200,1200,1400,5105,0,86.98,12,1200,1400,24600,0,419.14,11,46,83,8565,0,145.93,1200,1300,1700
400,4,100,l1,perf,3790,2696,64.75,2100,2100,2100,2118,-33252,-24724,0,-33252,-24598,-2,-62,-25630,-29,-14218,-73,0,-13227742,0.7417,0.7398,0.9975,,32.4,50.0,0.0,78.9,"column 1 (char 0)                    
------------------|---------------------------------------------------------------------------------------------------------------------------------------------

",0.71135,chat-only,5346,true,2126,1481,36.32,2100,2100,2100,549,360,9.38,2100,2100,2100,532,409,9.09,2100,2100,2100,583,446,9.96,2100,2100,2100,882,0,15.07,12,74,92,212,0,3.62,1200,1200,1300
