users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,pool_max,pool_active_max,pool_pending_max,pool_samples,pool_usage_count,pool_usage_mean_ms,pool_usage_max_ms,pool_acquire_count,pool_acquire_mean_ms,pool_acquire_max_ms,pool_timeout,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
50,4,12,biz,perf,1680,0,38.29,1200,1300,1900,1950,1720,0,0,1720,0,0,0,5160,0,0,0,0,1277162,0.0,0.0,,,32.5,72.0,0.0,10.0,8.0,0.0,62,3448.0,8.12,11543.0,3448.0,1.91,526.37,0.0,63.4,,0.0,chat-only,3408,,,,,,,,,,,,,1680,0,38.29,1200,1300,1900,,,,,,,,,,,,,1680,0,38.29,1200,1300,1900
100,4,25,biz,perf,3500,0,78.81,1200,1200,1300,1696,3575,0,0,3575,0,0,0,10725,0,0,0,0,2659633,0.0,0.0,,,23.9,52.0,0.0,10.0,4.0,0.0,62,10598.0,2.74,11543.0,10598.0,0.63,526.37,0.0,62.4,,0.0,chat-only,7100,,,,,,,,,,,,,3500,0,78.81,1200,1200,1300,,,,,,,,,,,,,3500,0,78.81,1200,1200,1300
200,4,50,biz,perf,6411,0,148.21,1200,1200,1200,1236,6662,0,0,6662,0,0,0,19986,0,0,0,0,5704277,0.0,0.0,,,31.4,72.0,0.0,10.0,3.0,0.0,62,23922.0,1.26,21.0,23922.0,0.28,1.29,0.0,62.5,,0.0,chat-only,13022,,,,,,,,,,,,,6411,0,148.21,1200,1200,1200,,,,,,,,,,,,,6411,0,148.21,1200,1200,1200
