users,workers,per_worker_users,model,profile,request_count,failure_count,qps,p50,p95,p99,max,requests_delta,admitted_delta,ratelimited_delta,valid_requests_delta,l1_delta,l2_delta,flight_delta,llm_delta,embed_remote_delta,embed_cached_delta,embed_merged_delta,negative_suppressed_delta,tokens_delta,interception_total,interception_cache_only,interception_admitted,rate_limited_nonzero,cpu_mean_pct,cpu_max_pct,freemem_min_gb,pool_max,pool_active_max,pool_pending_max,pool_samples,pool_usage_count,pool_usage_mean_ms,pool_usage_max_ms,pool_acquire_count,pool_acquire_mean_ms,pool_acquire_max_ms,pool_timeout,wall_s,locust_error,error_rate,qps_scope,aggregated_request_count,hot_request_count,hot_failure_count,hot_qps,hot_p50,hot_p95,hot_p99,para_request_count,para_failure_count,para_qps,para_p50,para_p95,para_p99,action_request_count,action_failure_count,action_qps,action_p50,action_p95,action_p99,long_request_count,long_failure_count,long_qps,long_p50,long_p95,long_p99,hit_request_count,hit_failure_count,hit_qps,hit_p50,hit_p95,hit_p99,miss_request_count,miss_failure_count,miss_qps,miss_p50,miss_p95,miss_p99
50,4,12,biz,perf,1672,0,38.59,1200,1300,2100,2149,1720,0,0,1720,0,0,0,5160,0,0,0,0,1292597,0.0,0.0,,,36.7,71.0,0.0,30.0,18.0,6.0,62,3448.0,10.61,11960.0,3448.0,1.38,570.21,0.0,63.1,,0.0,chat-only,3392,,,,,,,,,,,,,1672,0,38.59,1200,1300,2100,,,,,,,,,,,,,1672,0,38.59,1200,1300,2100
100,4,25,biz,perf,3475,0,78.87,1200,1200,1700,1808,3540,0,0,3540,0,0,0,10620,0,0,0,0,2903885,0.0,0.0,,,27.5,54.0,0.0,30.0,5.0,0.0,62,10528.0,3.61,11960.0,10528.0,0.45,570.21,0.0,62.5,,0.0,chat-only,7050,,,,,,,,,,,,,3475,0,78.87,1200,1200,1700,,,,,,,,,,,,,3475,0,78.87,1200,1200,1700
200,4,50,biz,perf,6414,0,148.11,1200,1200,1200,1340,6641,0,0,6641,0,0,0,19923,0,0,0,0,5442854,0.0,0.0,,,31.7,76.0,0.0,30.0,8.0,0.0,62,23810.0,1.66,58.0,23810.0,0.2,0.33,0.0,62.8,,0.0,chat-only,13028,,,,,,,,,,,,,6414,0,148.11,1200,1200,1200,,,,,,,,,,,,,6414,0,148.11,1200,1200,1200
